id,name,pdf_url
50205084,سَلَطَة الكولونيل كراي: حكمة الأب براون (٢٢),https://www.hindawi.org/books/50205084.pdf
41395309,تاريخ الترنسفال,https://www.hindawi.org/books/41395309.pdf
86426039,نشوء اللغة العربية ونموها واكتهالها,https://www.hindawi.org/books/86426039.pdf
71814195,إنجيل تولستوي وديانته,https://www.hindawi.org/books/71814195.pdf
20408692,إله الصنوج: حكمة الأب براون (٢١),https://www.hindawi.org/books/20408692.pdf
28302064,الدولة الإسلامية والخراب العاجل,https://www.hindawi.org/books/28302064.pdf
86027460,الجنس البشري في مَعرِض الأحياء‎,https://www.hindawi.org/books/86027460.pdf
80838157,هلاك آل بندراجون: حكمة الأب براون (٢٠),https://www.hindawi.org/books/80838157.pdf
86427138,ديوان الأمير شكيب أرسلان,https://www.hindawi.org/books/86427138.pdf
20414802,النور والفراشة: رؤية جوته للإسلام وللأدبين العربي والفارسي مع النص الكامل للديوان الشرقي,https://www.hindawi.org/books/20414802.pdf
28535931,الباروكة الأرجوانية: حكمة الأب براون (١٩),https://www.hindawi.org/books/28535931.pdf
46862959,من العقيدة  إلى الثورة (٤): النبوة –‎ المعاد,https://www.hindawi.org/books/46862959.pdf
68483920,أحزان فرتر,https://www.hindawi.org/books/68483920.pdf
90202793,رأس قيصر: حكمة الأب براون (١٨),https://www.hindawi.org/books/90202793.pdf
36497285,خطأ الآلة: حكمة الأب براون (١٧),https://www.hindawi.org/books/36497285.pdf
48682737,آدم الجديد,https://www.hindawi.org/books/48682737.pdf
46270963,رجل الممر: حكمة الأب براون (١٦),https://www.hindawi.org/books/46270963.pdf
80460374,تجارب فلسفية,https://www.hindawi.org/books/80460374.pdf
30940696,مبارزة الدكتور هيرش: حكمة الأب براون (١٥),https://www.hindawi.org/books/30940696.pdf
82416046,عذراء الهند,https://www.hindawi.org/books/82416046.pdf
71818319,أهمية أن نتثقف يا ناس,https://www.hindawi.org/books/71818319.pdf
79282927,جنة اللصوص: حكمة الأب براون (١٤),https://www.hindawi.org/books/79282927.pdf
50831918,السلطان محمد الفاتح: فاتح القسطنطينية,https://www.hindawi.org/books/50831918.pdf
40608315,تعالَ معي إلى أوروبا,https://www.hindawi.org/books/40608315.pdf
60825852,شركة المستقبل: دليل للمحاسبين والمحامين وغيرهم من مقدمي الخدمات المهنية,https://www.hindawi.org/books/60825852.pdf
69242916,شجرة الدر: قصة تاريخية,https://www.hindawi.org/books/69242916.pdf
59270690,غصن البان في رياض الجنان,https://www.hindawi.org/books/59270690.pdf
82727906,شيطان بنتاءور: أو لِبَد لقمانْ وهُدهُد سُلَيمان,https://www.hindawi.org/books/82727906.pdf
64628479,تجديد العربية: بحيث تصبح وافية بمطالب العلوم والفنون,https://www.hindawi.org/books/64628479.pdf
72597415,الرياح وأشجار الصفصاف,https://www.hindawi.org/books/72597415.pdf
46820951,عجائب المخلوقات,https://www.hindawi.org/books/46820951.pdf
61824292,من العقيدة إلى الثورة (٣): العَدل,https://www.hindawi.org/books/61824292.pdf
75719319,غياب السيد جلاس: حكمة الأب براون (١٣),https://www.hindawi.org/books/75719319.pdf
30427513,حياة الفكر في العالم الجديد,https://www.hindawi.org/books/30427513.pdf
47260852,أدوات الموت الثلاث: نقاء الأب براون (١٢),https://www.hindawi.org/books/47260852.pdf
62413635,قصة الطوفان,https://www.hindawi.org/books/62413635.pdf
63739739,تاريخ الحركة القومية في مصر القديمة: من فجر التاريخ إلى الفتح العربي,https://www.hindawi.org/books/63739739.pdf
36831961,علامة السيف المكسور: نقاء الأب براون (١١),https://www.hindawi.org/books/36831961.pdf
68259064,مؤلفات ابن رشد,https://www.hindawi.org/books/68259064.pdf
61972474,صناعة سويسرية: القصة غير المروية لنجاح سويسرا,https://www.hindawi.org/books/61972474.pdf
72063951,صحوتنا لا بارك الله فيها,https://www.hindawi.org/books/72063951.pdf
61508693,عين أبولو: نقاء الأب براون (١٠),https://www.hindawi.org/books/61508693.pdf
37092081,فلسفة النفس والشذوذ,https://www.hindawi.org/books/37092081.pdf
64186353,مطرقة الإله: نقاء الأب براون (٩),https://www.hindawi.org/books/64186353.pdf
80486960,كيف ينهض العرب,https://www.hindawi.org/books/80486960.pdf
20904830,سيرك الفيزياء الطائر,https://www.hindawi.org/books/20904830.pdf
96182637,الدولة المسلمة للخلف دُر,https://www.hindawi.org/books/96182637.pdf
64719352,خطايا الأمير سارادين: نقاء الأب براون (٨),https://www.hindawi.org/books/64719352.pdf
24031715,فلسفة الضوء,https://www.hindawi.org/books/24031715.pdf
90583929,رسالة في اللاهوت والسياسة,https://www.hindawi.org/books/90583929.pdf
82951514,تأمَّل يومًا بعد يوم: ٢٥ درسًا للعيش بوعي كامل,https://www.hindawi.org/books/82951514.pdf
80815972,يا إخوتي: قصائد مختارة من شعر أنجاريتي,https://www.hindawi.org/books/80815972.pdf
25242408,مفاتيح العلوم,https://www.hindawi.org/books/25242408.pdf
14737094,الشكل الخطأ: نقاء الأب براون (٧),https://www.hindawi.org/books/14737094.pdf
90909497,أخبار الحمقى والمغفلين,https://www.hindawi.org/books/90909497.pdf
64759258,شرف إزرائيل جاو: نقاء الأب براون (٦),https://www.hindawi.org/books/64759258.pdf
61483693,مصطلح التاريخ,https://www.hindawi.org/books/61483693.pdf
